City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
Delhi,01-01-2018,303.41,415.09,62.76,63.92,11.79,73.16,1.8,18.58,68.75,462
Delhi,01-02-2018,277.48,422.59,31.26,53.73,4.26,55.61,1.52,12.43,68.68,439
Delhi,01-03-2018,217.01,336.87,37.98,52.24,2.87,50.81,1.29,10.28,54.94,405
Delhi,01-04-2018,248.54,377.61,35.56,61.57,4.24,55.17,1.36,14.42,66.31,394
Delhi,01-05-2018,240.42,360.99,38.73,54.8,4.57,51.36,1.38,13.2,48.57,398
Delhi,01-06-2018,252.57,378.9,65.27,59.12,8.53,63.78,1.59,18.15,39.65,403
Delhi,01-07-2018,191.66,292.74,26.49,47.02,4.99,50.09,1.3,16.27,57.39,384
Delhi,01-08-2018,152.98,259.13,37.51,51.6,5.28,47.52,1.33,17.15,54.55,314
Delhi,01-09-2018,233.1,355.21,62.59,66.19,10.36,58.65,1.54,21.82,66.79,373
Delhi,01-10-2018,186.26,294.24,34.44,60.21,3.98,48.38,1.4,18.98,58.51,366
Delhi,01-11-2018,154.64,243.95,30.06,63.57,3.47,47.42,1.47,17.4,56.22,318
Delhi,01-12-2018,168.87,281.06,40.02,65.3,3.73,55.07,1.56,24.03,62.37,306
Delhi,1/13/2018,230.5,355.43,68.69,61.28,3.2,75.88,2.12,24.28,75.14,370
Delhi,1/14/2018,191.47,308.74,36.32,54.37,1.87,55.35,1.72,22.47,64.8,365
Delhi,1/15/2018,177.71,309.85,32.47,52.51,2.15,54.6,1.42,19.12,59.73,352
Delhi,1/16/2018,133.56,231.04,31.78,46.86,3.92,43.23,1.36,19.06,54,278
Delhi,1/17/2018,235.06,353.55,44.3,47.86,34.61,52.37,1.61,14.48,64.1,350
Delhi,1/18/2018,276.25,428.08,48.32,55.08,85.75,59.73,2.04,21.02,72.89,411
Delhi,1/19/2018,253.7,398.16,41.26,49.45,81.11,63.31,1.82,22.27,73.6,451
Delhi,1/20/2018,152.33,252.92,21.5,38.87,53.34,66.51,1.31,14.45,43.18,351
Delhi,1/21/2018,153.61,274.5,33.93,44.09,63.87,63.25,1.51,16.91,41.49,310
Delhi,1/22/2018,202.11,352.68,54.86,56.45,72.5,63.15,1.87,21.64,68.33,362
Delhi,1/23/2018,160.79,248.48,25.98,47.26,67.65,51.07,1.43,14.25,48.67,343
Delhi,1/24/2018,130.16,192.19,25.05,35.33,56.27,43.08,1.32,11.9,42.04,286
Delhi,1/25/2018,111.75,167.31,24.28,40.13,48.6,40.74,1.37,6.84,43.99,267
Delhi,1/26/2018,128.45,207.66,28.91,38.17,57.6,44.28,1.43,7.99,44.09,263
Delhi,1/27/2018,155.2,271.1,34.29,45.14,60.99,46.22,1.4,7.94,56.12,284
Delhi,1/28/2018,150.96,248.26,41.85,47.6,73.57,45.66,1.85,10.26,54.01,334
Delhi,1/29/2018,162.48,272.45,45.81,54.51,74.45,44.78,1.96,12.61,60.56,332
Delhi,1/30/2018,126.84,212.59,23.71,47.59,51.3,38.68,2,14.47,56.85,300
Delhi,1/31/2018,123.48,205.56,22.07,45.46,48.06,39.32,2.52,11.35,53.7,271
Delhi,02-01-2018,157.33,298.58,38.37,63.88,67.65,46.95,1.62,18.67,60.7,293
Delhi,02-02-2018,140.35,282.16,34.69,54.28,71.59,52.36,1.49,12.25,52.12,318
Delhi,02-03-2018,115.05,239.61,27.97,51.46,64.81,46.26,1.29,14.2,52.29,277
Delhi,02-04-2018,133.8,252.13,22.5,46.74,56.52,45.13,1.3,13.2,52.23,284
Delhi,02-05-2018,163.6,308.37,42.64,63.42,78.45,45.41,1.33,14.77,43.11,313
